search_date,researcher,database_or_site,exact_query,filters,date_range,jurisdiction,results_screened,items_preserved,new_authority_or_theme,follow_up,stopping_rule_status
2026-08-06,Codex,Idaho Supreme Court and State Bar,"Idaho Rule 1.18 prospective client current official",official court and bar domains,current,Idaho,5,0,"search did not yield a sufficiently reliable current consolidated primary text in this pass","Keep Idaho open; retry official rulebook acquisition and exact pinpoints",open
2026-08-06,Codex,Idaho State Bar,"Idaho Rules of Professional Conduct Rule 1.18 consolidated PDF",official issuing-body domain,current,Idaho,3,1,"current consolidated court-adopted Rule 1.18 and adopted comments acquired with exact page and paragraph pinpoints","Search official Idaho materials separately for any AI-specific formal ethics authority; do not treat educational material as an opinion",open
2026-08-06,Codex,Arkansas Judiciary,"Arkansas Rule 1.18 prospective client current official",official issuing-body domain,2025-2026,Arkansas,4,2,"current-rules index and March 2026 disciplinary application of Rule 1.18(b) acquired","Acquire current consolidated rule comments before making electronic-submission or warning claims",open
2026-08-06,Codex,Arkansas Supreme Court,"Administrative Order 25 artificial intelligence",official issuing-body domain,2025-2026,Arkansas,3,2,"adopted 2025 Ark. 117 order and current 2026 Judiciary guide located; scope is confidential or sealed court information","Do not generalize court-data order into private-firm intake validation",open
2026-08-06,Codex,Alabama State Bar,"Alabama Rule 1.18 prospective client and artificial intelligence ethics opinion",official issuing-body domain,2021-2026,Alabama,7,2,"Formal Opinion 2026-01 acquired as general AI guidance; Client Keeper handbook acquired as nonbinding intake guidance","Superseded by 2026-08-07 appellate-authority search acquiring Ex parte Taylor Peake",superseded-closed
2026-08-06,Codex,State Bar of Georgia,"Georgia Rule 1.18 prospective client and AI intake chatbot toolkit",official issuing-body domain,2020-2026,Georgia,8,3,"current Rule 1.18 index and July 2026 toolkit acquired; toolkit expressly addresses AI intake and screening","Preserve compact paragraph-level Rule 1.18 text and monitor toolkit revisions",open
2026-08-06,Codex,Supreme Court of Louisiana,"Louisiana Rule 1.18 prospective client official",official issuing-body domain,2004-2026,Louisiana,5,2,"Supreme Court adoption order and State Bar current-rule materials located; Rule 1.18(a)-(b) pinpointed","Monitor later amendments and search separately for private-lawyer intake-specific AI authority",open
2026-08-06,Codex,Maine Judicial Branch,"Maine Rule 1.18 prospective client limit initial interview",official issuing-body domain,current,Maine,4,1,"current court compilation acquired; Rule 1.18 and Comment 4 pinpointed","Search separately for AI-specific formal authority and monitor rule updates",open
2026-08-06,Codex,Supreme Court of Maryland,"Maryland Rule 19-301.18 artificial intelligence Comment 20 June 2026",official issuing-body domain,2016-2026,Maryland,7,3,"controlling Rule 19-301.18 baseline acquired; June 2026 AI language located only in committee agenda","Monitor final court action; do not promote proposal-stage language to controlling law",open
2026-08-06,Codex,"Michigan Supreme Court and State Bar of Michigan","site:courts.michigan.gov Rule 1.18 2026; site:michbar.org Artificial Intelligence FAQs",issuing-body domains,2025-2026,Michigan,8,2,"Current Rule 1.18 retained; actual AI FAQs acquired; RI-392 confirmed unrelated","Monitor both sources and search for intake-specific AI authority",open
2026-08-06,Codex,"Minnesota Supreme Court and Office of Lawyers Professional Responsibility","site:mncourts.gov Rule 1.18 prospective clients electronic communications",issuing-body domains,2020-2026,Minnesota,7,2,"Current Rule 1.18 and official educational article acquired","Search official sources for intake-specific AI authority",open
2026-08-06,Codex,"Supreme Court of Missouri and Missouri Bar","site:courts.mo.gov Rule 4-1.18; site:mobar.org Informal Opinion 2024-11 artificial intelligence",issuing-body domains,2024-2026,Missouri,9,2,"Rule 4-1.18 baseline and Informal Opinion 2024-11 acquired from official bar materials","Preserve compact current Supreme Court rules compilation and search intake-specific AI authority",open
2026-08-06,Codex,"Nebraska Judicial Branch","Nebraska § 3-501.18 prospective client artificial intelligence ethics",official issuing-body domain,current,Nebraska,5,1,"Current Supreme Court rule page acquired and Comments 1-5 pinpointed","Search Nebraska issuing-body sources for intake-specific AI authority and monitor amendments",open
2026-08-06,Codex,"Montana Supreme Court and State Bar of Montana","Montana duties to prospective clients Rule 1.18 Rule 1.20 artificial intelligence ethics",issuing-body domains,current,Montana,6,2,"Current Supreme Court compilation and State Bar rule page acquired; prospective-client provision is Rule 1.20 rather than Rule 1.18","Search issuing-body sources for intake-specific AI authority and monitor Rule 1.20 amendments",open
2026-08-06,Codex,"Mississippi Supreme Court and Mississippi Bar","Mississippi Rules of Professional Conduct duties to prospective clients Rule 1.18 artificial intelligence ethics",issuing-body domains,current,Mississippi,8,0,"No current issuing-body prospective-client rule text with reliable pinpoint acquired in this pass","Superseded by 2026-08-07 statutory-and-appellate search acquiring Mississippi Code Section 73-3-37 and Haynes v. Anderson",superseded-closed
2026-08-06,Codex,"Mississippi Supreme Court and Mississippi Bar","site:courts.ms.gov Rules of Professional Conduct prospective client; site:msbar.org prospective-client confidentiality",issuing-body domains,current,Mississippi,12,1,"Official rules index identified but current prospective-client text still not acquired with a reliable pinpoint","Superseded by 2026-08-07 statutory-and-appellate search acquiring the limited confidentiality analogue",superseded-closed
2026-08-06,Codex,"New Hampshire Supreme Court and New Hampshire Bar Association","site:courts.nh.gov Rule 1.18 prospective client; site:nhbar.org Rule 1.18 artificial intelligence",issuing-body domains,current,New Hampshire,10,2,"Current Supreme Court Rule 1.18 and official bar explanatory materials acquired; no intake-specific AI authority verified","Monitor amendments and search issuing-body sources for intake-specific AI authority",open
2026-08-06,Codex,"Alaska Court System and Alaska Bar Association","site:courts.alaska.gov Rule 1.18 prospective client electronic communications; site:alaskabar.org artificial intelligence lawyer ethics intake",issuing-body domains,current,Alaska,8,2,"Current court rules compilation acquired and Rule 1.18 electronic-communication, warning, limited-collection, and screening comments pinpointed; no intake-specific AI authority verified","Monitor Rule 1.18 amendments and continue issuing-body search for intake-specific AI authority",open
2026-08-06,Codex,"Arizona Supreme Court and Arizona Court System","site:azcourts.gov ER 1.18 duties prospective client Rule 42; site:azcourts.gov generative AI prospective clients",issuing-body domains,current,Arizona,12,3,"Official court guide reproducing current ER 1.18(a)-(d) acquired; existing 2024 Supreme Court committee AI guidance retained as nonbinding","Acquire the direct current Rule 42 publication or adoption history for archival completeness and monitor amendments",open
2026-08-06,Codex,"State Bar of California and California Supreme Court","site:calbar.ca.gov Rule 1.18 duties prospective client; site:calbar.ca.gov 2026 generative AI practical guidance prospective client intake",issuing-body domains,current,California,10,3,"Current State Bar publication of court-adopted Rule 1.18 acquired and paragraphs (a)-(d) pinpointed; existing 2026 Practical Guidance retained as nonbinding","Monitor rule and guidance amendments and continue issuing-body search for intake-specific AI authority",open
2026-08-06,Codex,"Colorado Supreme Court and Colorado Judicial Branch","site:coloradojudicial.gov Rule 1.18 duties prospective client; site:coloradojudicial.gov artificial intelligence lawyer ethics prospective client",official issuing-body domain,2008-2026,Colorado,12,3,"Court-hosted full Rule 1.18 text and comments acquired; February 2025 rule-change order marks Rule 1.18 unchanged; committee AI materials were not treated as adopted authority","Monitor amendments and search issuing-body sources for adopted intake-specific AI authority",open
2026-08-06,Codex,"District of Columbia Court of Appeals and District of Columbia Bar","site:dcbar.org Rule 1.18 duties prospective client; site:dcbar.org generative artificial intelligence ethics opinion",official issuing-body domain,current,"District of Columbia",10,4,"Current official Rule 1.18 webpage and Comments 2-5 acquired; existing Ethics Opinion 388 retained as general official ethics guidance","Monitor Rule 1.18 and Opinion 388 amendments and search separately for intake-specific product evidence",open
2026-08-07,Codex,"Connecticut Judicial Branch and Connecticut State Library","site:jud.ct.gov Connecticut Rule 1.18 duties prospective client Practice Book; Connecticut 2026 artificial intelligence Rules of Professional Conduct amendment",official issuing-body and state-library sources,current,Connecticut,10,2,"Official Practice Book Rule 1.18(a)-(d) page acquired; recent court-facing AI verification developments were kept separate because they concern filings rather than prospective-client intake","Acquire current commentary and amendment history directly from the Judicial Branch; monitor for intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Delaware Supreme Court and Delaware Judiciary Office of Disciplinary Counsel","site:courts.delaware.gov Rule 1.18 duties prospective client electronic communications; site:courts.delaware.gov artificial intelligence lawyer ethics intake",official issuing-body domain,current,Delaware,10,2,"Current Judiciary compilation amended through November 18 2025 acquired; Rule 1.18(a)-(d) and Comments 2-5 pinpointed; court-employee AI policies excluded from private-lawyer authority","Monitor Rule 1.18 amendments and search issuing-body sources for adopted intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Supreme Court of Florida and The Florida Bar","site:floridabar.org Rule 4-1.18 duties prospective client; site:flcourts.gov Rule 4-1.18; site:floridabar.org Opinion 24-1 artificial intelligence intake",official issuing-body domains,current,Florida,12,3,"Current official rules index updated June 30 2026 and Rule 4-1.18 baseline acquired; Opinion 24-1 reproduces the electronic-intake comment and directly addresses AI chatbots while remaining advisory and nonbinding","Monitor Rule 4-1.18 and Opinion 24-1 amendments; acquire a stable direct Chapter 4 PDF URL for archival completeness and search separately for product evidence",open
2026-08-07,Codex,"Supreme Court of Hawaiʻi and Hawaiʻi State Bar Association","site:courts.state.hi.us Hawaii Rules of Professional Conduct Rule 1.18 duties prospective client; site:hsba.org artificial intelligence ethics lawyer intake; site:courts.state.hi.us artificial intelligence lawyer ethics prospective client intake",official issuing-body domains,current,Hawaii,12,3,"Current official HRPC compilation released December 2025 acquired and Rule 1.18(a)-(d) plus Comments 2-7 pinpointed; December 2025 Supreme Court committee report classified as general AI guidance with no prospective-client intake treatment","Monitor HRPC amendments and committee implementation; search separately for adopted intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Illinois Supreme Court and Attorney Registration and Disciplinary Commission","site:illinoiscourts.gov Rule 1.18 duties prospective client electronic communications; site:illinoiscourts.gov artificial intelligence lawyer ethics; site:iardc.org artificial intelligence intake prospective client",official issuing-body domains,current,Illinois,12,3,"Current Supreme Court Rule 1.18(a)-(d) and Comments 2-7 acquired and pinpointed; Supreme Court AI policy classified as general guidance with no prospective-client intake treatment","Monitor Rule 1.18 and the Supreme Court AI policy; search separately for adopted intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Indiana Supreme Court and Indiana State Bar Association","site:rules.incourts.gov Indiana Rule 1.18 prospective client; site:in.gov/courts artificial intelligence lawyer ethics intake; site:inbar.org artificial intelligence ethics opinion Indiana lawyers",official issuing-body domains,current,Indiana,12,3,"Current Supreme Court Rule 1.18(a)-(d) and Comments 2-8 acquired and pinpointed; State Bar AI items located were educational rather than adopted intake-specific ethics authority","Monitor Rule 1.18 amendments and search issuing-body sources for adopted intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Iowa Supreme Court, Iowa Legislature, and Iowa State Bar Association","site:legis.iowa.gov Iowa Rule 32:1.18 prospective client; site:iowacourts.gov Rule 32:1.18; site:iowabar.org artificial intelligence ethics opinion Iowa lawyers",official issuing-body and state-bar domains,current,Iowa,12,3,"Official state compilation of Rule 32:1.18(a)-(d) and Comments 2-9 acquired and pinpointed; Iowa Bar Formal Opinion 512 listing was traced to the ABA opinion and not classified as Iowa-issued authority","Monitor Rule 32:1.18 amendments; acquire a newer official consolidated publication if issued; search separately for Iowa-issued intake-specific AI authority and product evidence",open
2026-08-07,Codex,"Kansas Supreme Court and Kansas Bar Association","site:kscourts.gov Rule 1.18 duties prospective client electronic communications; site:kscourts.gov artificial intelligence lawyer ethics intake; site:ksbar.org artificial intelligence ethics opinion Kansas lawyers",official issuing-body and state-bar domains,current,Kansas,12,3,"Current Kansas Supreme Court Rule 240 1.18(a)-(d) and Comments 2-10 acquired and pinpointed through the official rule page and 2026 rulebook; Supreme Court AI committee work classified as court-governance activity and Kansas Bar AI items as CLE education rather than adopted intake-specific ethics authority","Monitor Rule 1.18 amendments and Supreme Court AI committee outputs; search separately for adopted intake-specific lawyer authority and product evidence",open
2026-08-07,Codex,"Kentucky Supreme Court and Kentucky Bar Association","site:kycourts.gov SCR 3.130(1.18) duties prospective client; site:kybar.org prospective client electronic communication ethics opinion; site:kybar.org artificial intelligence intake ethics opinion Kentucky",official issuing-body and state-bar domains,current,Kentucky,12,4,"Supreme Court Order 2009-05 acquired for SCR 3.130(1.18)(a)-(d) and Comments 1-6; KBA E-455 acquired as intake-specific formal guidance covering electronic communications warnings limited initial collection and screening; E-457 retained separately as general AI guidance","Monitor rule and opinion amendments; acquire a newer consolidated court publication if issued; search separately for product-specific intake-summarization evidence",open
2026-08-07,Codex,"Massachusetts Supreme Judicial Court, Board of Bar Overseers, and Trial Court Law Libraries","site:mass.gov Massachusetts Rule 1.18 prospective client electronic communications; site:massbbo.org prospective clients; site:mass.gov generative AI lawyers ethics Massachusetts",official issuing-body and disciplinary-authority domains,current,Massachusetts,14,4,"Current Supreme Judicial Court Rule 1.18(a)-(d) and Comments 2-8 acquired and pinpointed; Board of Bar Overseers prospective-client materials screened as explanatory guidance; Commonwealth GenAI guidelines classified as judicial-operations guidance and the law-library survey as a discovery aid","Monitor Rule 1.18 amendments; search separately for Massachusetts-issued private-lawyer AI-intake authority and product evidence",open
2026-08-07,Codex,"Mississippi Supreme Court and Mississippi Bar","site:courts.ms.gov Mississippi Rule 1.18 prospective client; site:msbar.org prospective-client confidentiality; site:msbar.org artificial intelligence ethics opinion lawyers Mississippi",official issuing-body and state-bar domains,current,Mississippi,16,4,"No Mississippi-adopted Rule 1.18 text was acquired after repeated issuing-body searches; Mississippi Bar Ethics Opinion 267 was acquired and pinpointed as formal general AI-practice guidance covering confidentiality competence supervision testing verification fees and disclosure","Superseded by 2026-08-07 statutory-and-appellate search; preserve the no-Model-Rule limitation and investigate products separately",superseded-closed
2026-08-07,Codex,"Nevada Supreme Court and State Bar of Nevada","site:nvcourts.gov Nevada Rule 1.18 prospective client; site:nvbar.org Rule 1.18 duties prospective client; site:nvbar.org artificial intelligence ethics opinion lawyers Nevada",official issuing-body and state-bar domains,current,Nevada,15,5,"Nevada Supreme Court ADKT 0493 acquired and pinpointed for Rule 1.18(a)-(f), including Nevada-specific reasonable-expectation good-faith-intent and advance-consent provisions; State Bar AI magazine and practice-management materials classified as education rather than adopted ethics authority","Monitor Rule 1.18 amendments and formal Nevada ethics opinions; search separately for intake-specific AI authority and product evidence",verified
2026-08-07,Codex,"Supreme Court of New Jersey, Advisory Committee on Professional Ethics, and New Jersey State Bar Association","site:njcourts.gov RPC 1.18 prospective client New Jersey; site:njcourts.gov ACPE Opinion 695 website prospective client; site:njcourts.gov artificial intelligence lawyers ethics New Jersey",official issuing-body and state-bar domains,current,"New Jersey",18,6,"Current RPC 1.18 baseline located; ACPE Opinion 695 acquired as formal intake-specific guidance on unsolicited website communications reasonable expectations and advance disclaimers; 2024 preliminary AI guidelines and March 30 2026 Supreme Court AI-policy notice classified as official general AI-practice guidance; CLE and State Bar reports kept at educational or recommendatory weight","Monitor RPC and ACPE amendments; acquire any later intake-specific AI opinion; investigate named products and configurations separately",verified
2026-08-07,Codex,"Supreme Court of New Mexico, State Bar of New Mexico Ethics Advisory Committee, and New Mexico Courts","site:nmcourts.gov Rule 16-118 NMRA prospective client; site:sbnm.org Formal Opinion 2024-004 generative AI; site:nmcourts.gov artificial intelligence lawyers New Mexico",official issuing-body and state-bar domains,current,"New Mexico",17,5,"Rule 16-118 baseline and adoption history verified; Formal Ethics Advisory Opinion 2024-004 acquired and classified as official general AI-practice guidance; July 2026 judicial-system interim guidelines classified as court-operations material rather than intake-specific lawyer authority","Monitor Rule 16-118 and Opinion 2024-004; acquire any intake-specific AI authority; investigate named products and configurations separately",open
2026-08-07,Codex,"New York State Unified Court System, Appellate Divisions, and New York City Bar Association","site:nycourts.gov Rules of Professional Conduct Rule 1.18 prospective clients New York; site:nycbar.org Formal Opinion 2024-5 generative AI; site:nycbar.org Formal Opinion 2025-6 AI summarize conversations",official issuing-body and bar domains,current,"New York",19,6,"Current statewide Rule 1.18 acquired and pinpointed, including paragraphs (a)-(e) and comments on electronic submissions clear warnings limited collection screening and notice; NYC Bar Opinions 2024-5 and 2025-6 retained as persuasive local guidance; court-workforce AI policy and educational materials classified outside private-lawyer intake authority","Monitor statewide rule amendments and ethics opinions; do not generalize NYC Bar guidance statewide; investigate intake-specific products and configurations separately",open
2026-08-07,Codex,"North Carolina State Bar and North Carolina Office of Administrative Hearings","site:ncbar.gov Rule 1.18 duties prospective client North Carolina; site:ncbar.gov 2011 Formal Ethics Opinion 8 live chat; site:ncbar.gov 2024 Formal Ethics Opinion 1 artificial intelligence",official issuing-body domains,current,"North Carolina",16,6,"Current Rule 1.18 acquired and pinpointed; adopted 2011 Formal Ethics Opinion 8 classified as intake-specific guidance for law-firm live chat; 2024 Formal Ethics Opinion 1 retained as official general AI-practice guidance; secondary summaries excluded from the authority baseline","Monitor Rule 1.18 and formal-opinion amendments; investigate named intake products and configurations separately",open
2026-08-07,Codex,"North Dakota Supreme Court and State Bar Association of North Dakota","site:ndcourts.gov North Dakota Rule 1.18 duties prospective client; site:sband.org North Dakota artificial intelligence ethics lawyers formal opinion; site:ndcourts.gov generative AI lawyers ethics North Dakota",official issuing-body and state-bar domains,current,"North Dakota",16,4,"Current Rule 1.18 acquired and pinpointed, including invited electronic submissions clear warnings limited collection confidentiality conflicts consent exposure controls and prompt notice; State Bar AI CLE event classified as education; no adopted AI-specific ethics authority located in the bounded search","Monitor Rule 1.18 amendments and continue official-source AI-authority searches; investigate named intake products and configurations separately",open
2026-08-07,Codex,"Supreme Court of Ohio and Ohio Board of Professional Conduct","site:supremecourt.ohio.gov Ohio Rule 1.18 duties prospective client; site:bpc.ohio.gov artificial intelligence ethics guide lawyers Ohio; site:supremecourt.ohio.gov artificial intelligence lawyers ethics Ohio",official issuing-body and professional-conduct-board domains,current,Ohio,18,5,"Current Rule 1.18 acquired and pinpointed, including invited electronic submissions clear warnings limited collection confidentiality conflicts consent screening and notice; 2026 Ohio Ethics Guide acquired and classified as expressly nonbinding Board-staff general AI-practice guidance; secondary bar articles and CLE materials excluded from the authority baseline","Monitor Rule 1.18 and the Ethics Guide; acquire any later intake-specific AI authority; investigate named products and configurations separately",open
2026-08-07,Codex,"Official Oklahoma Statutes, Oklahoma Supreme Court, and Oklahoma Bar Association","site:govt.westlaw.com/okjc Oklahoma Rule 1.18 duties prospective client; site:oscn.net Oklahoma Rule 1.18 prospective client; site:okbar.org Oklahoma artificial intelligence ethics opinion lawyers generative AI",official statutes court and state-bar domains,current,Oklahoma,17,5,"Current Rule 1.18 acquired and pinpointed, including invited written oral and electronic submissions clear warnings limited collection confidentiality conflicts consent exposure controls screening and prompt written notice; Oklahoma Bar AI articles classified as educational commentary; no Oklahoma-adopted AI-specific ethics opinion located in the bounded search","Monitor Rule 1.18 amendments and continue official-source AI-authority searches; investigate named intake products and configurations separately",open
2026-08-07,Codex,"Oregon Supreme Court and Oregon State Bar","site:osbar.org Oregon RPC 1.18 duties prospective client current rule; site:osbar.org Oregon artificial intelligence ethics opinion lawyers generative AI; site:osbar.org chatbots AI agent communications formal opinion",official court-adopted-rule and issuing-bar domains,current,Oregon,18,7,"Current Rule 1.18 acquired from the 2026 rules compilation; Formal Opinion 2025-205 acquired as general AI-practice guidance; Formal Opinion 2026-208 acquired as chatbot and AI-agent guidance directly addressing prospective-client communications; educational commentary excluded from the authority baseline","Monitor Rule 1.18 and both formal opinions; acquire amendments or later intake-summarization authority; investigate named products and configurations separately",open
2026-08-07,Codex,"Pennsylvania Code, Disciplinary Board of the Supreme Court of Pennsylvania, Pennsylvania Bar Association, and Philadelphia Bar Association","site:pacodeandbulletin.gov Pennsylvania Rule 1.18 duties prospective clients; site:padisciplinaryboard.org Rule 1.18 prospective client; site:pabar.org Joint Formal Opinion 2024-200 artificial intelligence; site:philadelphiabar.org Joint Formal Opinion 2024-200",official code disciplinary-board and issuing-bar domains,current,Pennsylvania,18,6,"Current Rule 1.18 acquired and pinpointed, including invited written oral and electronic submissions, clear warnings, unilateral and disqualification-purpose communications, limited initial collection, confidentiality, conflicts, consent, screening, notice, and advance consent; full Joint Formal Opinion 2024-200 acquired and classified as expressly advisory nonbinding general AI-practice guidance","Monitor Rule 1.18 and Joint Formal Opinion 2024-200; acquire later intake-specific AI authority; investigate named products and configurations separately",open
2026-08-07,Codex,"Rhode Island Supreme Court, Rhode Island Judiciary, and Rhode Island Bar Association","site:courts.ri.gov Rhode Island Rule 1.18 duties prospective client; site:courts.ri.gov Rhode Island Ethics Advisory Panel prospective client Rule 1.18; site:courts.ri.gov Rhode Island generative AI lawyers ethics chatbot prospective client; site:ribar.com Rhode Island artificial intelligence ethics opinion lawyers",official court judiciary advisory-panel and state-bar domains,current,"Rhode Island",19,6,"Current Rule 1.18 and Comments 1-9 acquired from the Judiciary rules compilation; Final Ethics Advisory Panel Opinion 2016-06 acquired as a direct consultation-confidentiality application; 2026 interim Supreme Court generative-AI guidelines acquired and pinpointed, including public-facing chatbot and AI-agent treatment under Rule 1.18; Bar president and seminar materials excluded from the authority baseline","Monitor Rule 1.18, later Ethics Advisory Panel opinions, and revisions or replacement of the interim AI guidelines; investigate named intake products and configurations separately",open
2026-08-07,Codex,"South Carolina Supreme Court, South Carolina Judicial Branch, and South Carolina Bar","site:sccourts.org Rule 1.18 prospective client South Carolina professional conduct; site:scbar.org ethics advisory opinion artificial intelligence lawyers South Carolina; site:sccourts.org generative artificial intelligence lawyers South Carolina ethics; site:scbar.org prospective client website chatbot ethics opinion South Carolina",official court judiciary and state-bar domains,current,"South Carolina",22,6,"Current Rule 1.18 and Comments 1-9 acquired from the Judicial Branch rule page and 2021 amendment order; March 25 2025 Supreme Court Interim Policy acquired and pinpointed; Ethics Advisory Committee index and official education materials screened without converting CLE or secondary materials into adopted authority","Monitor Rule 1.18 and the Interim Policy; acquire later intake-specific AI authority; investigate named intake products and configurations separately",open
2026-08-07,Codex,"South Dakota Supreme Court, South Dakota Unified Judicial System, and State Bar of South Dakota","site:ujs.sd.gov Rule 1.18 prospective client South Dakota professional conduct; site:sdbar.org artificial intelligence ethics opinion lawyers South Dakota; site:ujs.sd.gov artificial intelligence lawyers generative AI South Dakota Supreme Court; site:sdbar.org prospective client website chatbot ethics opinion South Dakota",official court judiciary and state-bar domains,current,"South Dakota",13,4,"Supreme Court Rule 18-06 acquired and pinpointed as the current Rule 1.18 baseline effective July 1 2018; official court decisions and court-hosted AI education material screened; no South Dakota-adopted AI ethics opinion or intake-specific AI authority located; educational conference slides excluded from the authority baseline","Monitor Rule 1.18 and official ethics sources; acquire later intake-specific AI authority; investigate named intake products and configurations separately",open
2026-08-07,Codex,"Tennessee Supreme Court, Tennessee Administrative Office of the Courts, Tennessee Board of Professional Responsibility, and Tennessee Bar Association","site:tncourts.gov Rule 1.18 duties prospective client Tennessee; site:tncourts.gov artificial intelligence lawyers ethics Tennessee generative AI; site:tbpr.org artificial intelligence ethics opinion lawyers Tennessee; site:docs.tbpr.org generative AI Tennessee lawyers ethics; site:tba.org chatbot prospective client artificial intelligence ethics Tennessee",official court judiciary disciplinary-board and state-bar domains,current,Tennessee,21,6,"Current RPC 1.18 acquired from the Supreme Court Rule 8 page and amendment record, including written oral and electronic communications invited submissions clear warnings unilateral and disqualification-purpose submissions limited collection confidentiality conflicts consent screening and notice; Fall 2024 Board Notes AI article acquired and classified as official educational commentary; no Tennessee formal AI ethics opinion or intake-specific AI authority located","Monitor RPC 1.18 and formal-opinion sources; acquire later intake-specific AI authority; investigate named products and configurations separately",open
2026-08-07,Codex,"Supreme Court of Texas, State Bar of Texas, Professional Ethics Committee for the State Bar of Texas, and Texas Center for Legal Ethics","site:txcourts.gov Rule 1.18 prospective client Texas; site:legalethicstexas.com artificial intelligence ethics opinion Texas lawyers generative AI; site:texasbar.com artificial intelligence ethics opinion lawyers prospective client chatbot; site:txcourts.gov artificial intelligence lawyers ethics Texas Supreme Court",official court state-bar ethics-committee and designated ethics-resource domains,current,Texas,24,8,"Current Rule 1.18 acquired from the Supreme Court rules compilation and adoption order, verified effective October 1 2024, including good-faith consultation specifically invited submissions through advertising unilateral communications limited collection confidentiality conflicts consent screening and notice; February 2025 Opinion 705 acquired and pinpointed as general generative-AI ethics guidance; task-force reports presentations CLE and articles screened without elevating them to controlling or intake-specific authority","Monitor Rule 1.18 and Opinion 705; acquire later intake-specific AI authority; investigate named intake products and configurations separately",open
