source_id,title,issuing_body,date,version_or_status,url,source_type,jurisdiction,authority_level,propositions,limitations,last_verified
S014,"Ethics Opinion KBA E-457: The Ethical Use of Artificial Intelligence in the Practice of Law","Kentucky Bar Association","2024-03-15","KBA E-457","https://kybar.org/Portals/0/Admin/Ethics%20Opinions/KBA%20E-457.pdf","state-bar ethics opinion","Kentucky","official bar ethics guidance","technology competence; confidentiality; disclosure conditions; fees; court-rule review; firm policies and training","Kentucky-specific; several propositions concern client matters and court submissions rather than intake","2026-08-04"
S015,"2024 Formal Ethics Opinion 1","North Carolina State Bar","2024",current official text,"https://www.ncbar.gov/for-lawyers/ethics-and-governing-rules/ethics-opinions/opinions/2024-formal-ethics-opinion-1/","state-bar formal ethics opinion","North Carolina","official state-bar ethics guidance","publicly available AI should generally not receive client-specific information; continuing vendor review; original lawyer responsibility","the source says generally and as of its date; it does not establish a universal ban","2026-08-04"
S016,"Topic: Artificial Intelligence and Legal Ethics — Final White Paper","Arizona Supreme Court Committee on Alternative Business Structures","2023-11-16","final white paper","https://www.azcourts.gov/Portals/0/225/AI%20and%20Legal%20Ethics%20Final%20White%20Paper.pdf","court-committee white paper","Arizona","official nonbinding study document","identifies client-intake chatbot risks including confidentiality, unintended relationships, unauthorized practice, supervision, and advertising","not an ethics opinion or binding rule; pre-dates later national and state guidance","2026-08-04"
S017,"Massachusetts law about artificial intelligence — attorney ethics 50-state survey links","Massachusetts Trial Court Law Libraries",unknown,current official research guide,"https://www.mass.gov/info-details/massachusetts-law-about-artificial-intelligence","official legal research guide","United States states","official secondary discovery aid","collects links to state government and bar attorney-AI guidance","not primary authority for another jurisdiction; each linked authority must be independently acquired and verified","2026-08-04"
S018,"Ethics Opinion RI-392: Access to and Disposition of Client Files After Representation","State Bar of Michigan","2025-12-12","RI-392","https://www.michbar.org/opinions/ethics/numbered_opinions/RI-392","state-bar ethics opinion","Michigan","official bar ethics guidance","access to lawyer files; return of client property; retention liens after representation","not an AI opinion and must not support any AI-use claim","2026-08-06"
S019,"A Comparative Study of Quality Evaluation Methods for Text Summarization","Nguyen et al.",2024,"arXiv:2407.00747v1","https://arxiv.org/abs/2407.00747","primary empirical preprint","patent-document summarization","non-authoritative empirical research","evaluates seven summarization models; human evaluation considers clarity accuracy coverage and overall quality; error analysis identifies incompleteness and hallucination","patent corpus rather than law-firm intake; preprint; does not validate any current vendor or intake configuration","2026-08-04"
S020,"Supporting Humans in Evaluating AI Summaries of Legal Depositions","Akter et al.",2026,"arXiv:2601.15182v1","https://arxiv.org/abs/2601.15182","system/prototype research preprint","legal deposition summarization","non-authoritative adjacent research","source-linked nugget framework surfaces missing unsupported or inaccurate content for human verification","prototype on nine public civil-deposition transcripts; not an outcome study; not prospective-client intake; uses LLM-based evaluators; industry gift disclosed","2026-08-04"
S021,"Challenges to the Monitoring of Deployed AI Systems","NIST Center for AI Standards and Innovation",2026-03,"NIST AI 800-4","https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.800-4.pdf","federal technical report","United States / cross-sector","official nonbinding technical report","post-deployment monitoring categories; human-factor monitoring; monitoring gaps barriers and open questions","cross-sector and not intake-specific; synthesizes workshops and literature rather than validating a particular monitoring protocol","2026-08-04"
S022,"Artificial Intelligence Risk Management Framework 1.0","National Institute of Standards and Technology",2023-01,"NIST AI 100-1","https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf","federal voluntary framework","United States / cross-sector","official voluntary standard","documentation; accountability; human review; risk measurement and management across lifecycle","voluntary and cross-sector; does not establish legal duties or product efficacy","2026-08-04"
S023,"Automation Bias in AI-Decision Support: Results from an Empirical Study","Kücking et al.",2024,"peer-reviewed article / PMID 39234734","https://pubmed.ncbi.nlm.nih.gov/39234734/","primary controlled experiment","clinical decision support","non-authoritative adjacent empirical research","participants followed erroneous AI recommendations; susceptibility differed by expertise and task conditions","clinical vignettes rather than legal intake; does not estimate law-firm reviewer behavior; transfer is a design inference only","2026-08-04"
S024,"Automation Bias in Mammography: The Impact of Artificial Intelligence BI-RADS Suggestions on Reader Performance","Dratsch et al.",2023,"peer-reviewed article / PMID 37129490","https://pubmed.ncbi.nlm.nih.gov/37129490/","primary experimental study","medical image interpretation","non-authoritative adjacent empirical research","erroneous AI suggestions adversely affected readers across experience levels in the study setting","mammography rather than text summarization or legal intake; cannot supply a legal-review error rate","2026-08-04"
S025,"Guidance on Web Accessibility and the ADA","U.S. Department of Justice Civil Rights Division",2022-03-18,"current guidance page; notes 2024 Title II rule separately","https://www.ada.gov/resources/web-guidance/","federal technical-assistance guidance","United States federal","official nonbinding guidance","inaccessible forms can prevent accurate submission; labels clear instructions error identification keyboard access and manual testing matter; automated checks alone are insufficient","informal guidance with no independent binding effect; Title III application and controlling law require matter-specific legal review","2026-08-04"
S026,"Michigan Rules of Professional Conduct","Michigan Supreme Court","2026-01-01","current compilation updated with orders effective January 1 2026","https://www.courts.michigan.gov/492c94/siteassets/rules-instructions-administrative-orders/rules-of-professional-conduct/michigan-rules-of-professional-conduct.pdf","court-adopted professional-conduct rules","Michigan","controlling professional-conduct baseline","Rule 1.18 duties to prospective clients; invited electronic submissions; warnings; limiting initial information collection","does not validate an AI product or establish summarization efficacy; application remains fact-specific","2026-08-06"
S027,"Generative AI: Ethical Best Practices for Lawyers and Judges","Arizona Supreme Court Committee on Artificial Intelligence and the Courts","2024-11-14","published guidance","https://www.azcourts.gov/Portals/0/74/AISC%20Ethical%20Best%20Practices%20Guidance_For%20Publication.pdf","supreme-court committee guidance","Arizona","official nonbinding guidance","competence; confidentiality; supervision; accuracy; prospective-client disclosure when AI is used for intake communications","not a court rule or ethics opinion; relies in part on authorities from other jurisdictions; does not validate intake summarization performance","2026-08-06"
S028,"Ethics Opinion KBA E-457: The Ethical Use of Artificial Intelligence in the Practice of Law","Kentucky Bar Association","2024-03-15","formally adopted ethics opinion","https://kybar.org/Portals/0/Admin/Ethics%20Opinions/KBA%20E-457.pdf","state-bar ethics opinion","Kentucky","official bar ethics guidance","technology competence; confidentiality; disclosure conditions; fees; court-rule review; firm policies; supervision and training","general AI-practice guidance rather than a prospective-client intake opinion; expressly does not address Kentucky advertising rules","2026-08-06"
S029,"Idaho Rules of Professional Conduct","Idaho Supreme Court / Idaho State Bar",unknown,"current consolidated rules; accessed 2026-08-06","https://isb.idaho.gov/wp-content/uploads/IRPC-acc.pdf","court-adopted professional-conduct rules","Idaho","controlling professional-conduct baseline","Rule 1.18 duties to prospective clients; invited electronic submissions; clear warnings; limited initial collection","does not validate an AI product or establish summarization efficacy; whether a communication is a consultation depends on the circumstances","2026-08-06"
S030,"Office of Professional Conduct: Arkansas Rules of Professional Conduct","Arkansas Judiciary",2025-06-12,"official current-rules index","https://arcourts.gov/professional-conduct","issuing-court current-rules index","Arkansas","official primary source","identifies the Arkansas Rules of Professional Conduct as current as of June 12 2025","index page does not itself supply paragraph-level rule text or validate an AI intake product","2026-08-06"
S031,"Emily Reed, Respondent Attorney, CPC Docket No. 2025-028","Arkansas Supreme Court Committee on Professional Conduct",2026-03-18,"final disciplinary decision","https://arcourts.gov/sites/default/files/opc_opinions/2025-028.pdf","official disciplinary decision","Arkansas","controlling-rule application record","quotes and applies Arkansas Rule 1.18(b) concerning information learned from a prospective client","decision is matter-specific and does not address AI intake design or all Rule 1.18 comments","2026-08-06"
S032,"In re Creation of Arkansas Supreme Court Administrative Order No. 25: Artificial Intelligence","Arkansas Supreme Court",2025-06-05,"2025 Ark. 117; adopted order","https://arcourts.gov/sites/default/files/In_Re_Creation_of_Admin_Order_No_25_AI.pdf","supreme-court administrative order","Arkansas courts","controlling court-administration order","addresses disclosure of confidential or sealed case information to AI tools; current Judiciary guidance directs court participants to the order","court-data scope is not private-law-firm prospective-client intake validation","2026-08-06"
S033,"Artificial Intelligence Use: Best Practices Under Existing Professional Conduct Rules","Alabama State Bar Disciplinary Commission",2026-05,"Formal Opinion 2026-01","https://www.alabar.org/assets/2026/05/FO-2026-01.pdf","state-bar formal ethics opinion","Alabama","official bar formal opinion","competence; independent verification; confidentiality; supervision; communication; fees; vendor and agentic-AI risk","general AI-practice guidance rather than prospective-client intake authority; does not establish or apply a Rule 1.18 analogue","2026-08-06"
S034,"Client Keeper Package","Alabama State Bar",2021-05,"practice-management handbook","https://www.alabar.org/assets/2021/08/o-Client-Keeper-updated-May-2021.pdf","state-bar risk-management handbook","Alabama","official nonbinding practice guidance","initial client contact; limited background collection; conflict checking; recording declined prospective clients; careful intake interviews","risk-management and educational guidance rather than a rule or formal ethics opinion; predates the 2026 AI opinion","2026-08-06"
S035,"Georgia Rules of Professional Conduct: Rule 1.18 Duties to Prospective Client","Supreme Court of Georgia / State Bar of Georgia",unknown,"current official handbook; accessed 2026-08-06","https://www.gabar.org/general-counsel/georgia-rules-of-professional-conduct","court-adopted professional-conduct rule","Georgia","controlling professional-conduct baseline","duties to prospective clients; confidentiality and conflict consequences after consultation","official index and handbook identify current Rule 1.18; compact paragraph-level text remains to be preserved separately","2026-08-06"
S036,"Generative AI Toolkit","State Bar of Georgia Special Committee on Artificial Intelligence and the Law",2026-07-09,"last updated July 9 2026","https://www.gabar.org/docs/default-source/lpm/member-resources/generative-ai-toolkit.pdf?sfvrsn=eebe6817_6","state-bar practice toolkit","Georgia","official nonbinding guidance","prospective-client confidentiality; AI intake and screening; chatbot and virtual-assistant conflict risk; intake warnings; human review; vendor security","not a formal advisory opinion or court rule; guidance does not validate a particular intake or summarization product","2026-08-06"
S037,"Order adopting Louisiana Rules of Professional Conduct including Rule 1.18","Supreme Court of Louisiana",2004-01-20,"effective March 1 2004; official court order","https://www.lasc.org/rules/orders/2004/ROPC_E2K.pdf","supreme-court adoption order","Louisiana","controlling professional-conduct baseline","Rule 1.18(a)-(b) prospective-client status and protection against use or disclosure of consultation information","older adoption order does not by itself establish whether later amendments exist and does not address AI intake or product performance","2026-08-06"
S038,"Maine Rules of Professional Conduct","Maine Supreme Judicial Court",2023-09-28,"official consolidated compilation accessed 2026-08-06","https://www.courts.maine.gov/rules/text/mr_prof_conduct_plus_2023-09-28.pdf","court-adopted professional-conduct rules","Maine","controlling professional-conduct baseline","Rule 1.18 duties to prospective clients; confidentiality; conflict consequences; Comment 4 instruction to limit initial interviews","does not address or validate AI intake summarization; current-amendment monitoring remains necessary","2026-08-06"
S039,"Maryland Rules of Procedure Title 19 Chapters 100 and 300","Supreme Court of Maryland",2016-07-01,"official rules compilation with later Rule 1.18 conforming amendment separately checked","https://www.mdcourts.gov/sites/default/files/rules/supporting/178title19chapters100x300.pdf","court-adopted professional-conduct rules","Maryland","controlling professional-conduct baseline","Rule 19-301.18 prospective-client status; confidentiality; conflicts; Comment 4 instruction to limit the initial interview","compilation predates the 2023 conforming-reference amendment; it does not contain the June 2026 proposed AI language or validate an AI product","2026-08-06"
S040,"Rules Committee Agenda: Proposed amendment to Rule 19-301.6 Comment 20","Supreme Court of Maryland Standing Committee on Rules of Practice and Procedure",2026-06-25,"committee agenda; proposal-stage material","https://www.mdcourts.gov/sites/default/files/import/rules/agenda/agenda.pdf","rules-committee proposal","Maryland","official proposal-stage material","proposed confidentiality comment would expressly include artificial intelligence tools among technology used to transmit client information","not adopted controlling law in the acquired record; concerns transmission precautions and cross-references prospective-client duties rather than validating intake summarization","2026-08-06"
S041,"Artificial Intelligence FAQs","State Bar of Michigan",unknown,"current webpage accessed 2026-08-06","https://www.michbar.org/opinions/ethics/AIFAQs","state-bar ethics FAQ","Michigan","official nonbinding guidance","AI competence; verification; confidentiality; communication; supervision; fees","not an ethics opinion or controlling law and does not address or validate prospective-client intake summarization","2026-08-06"
S042,"Minnesota Rules of Professional Conduct","Minnesota Supreme Court / Lawyers Professional Responsibility Board",2024-10,"official consolidated compilation accessed 2026-08-06","https://lprb.mncourts.gov/wp-content/uploads/2024/10/MN-Rules-of-Professional-Conduct_compressed.pdf","court-adopted professional-conduct rules","Minnesota","controlling professional-conduct baseline","Rule 1.18 duties; invited electronic submissions; warnings; limiting initial collection","does not address or validate AI intake summarization; amendment monitoring remains necessary","2026-08-06"
S043,"Prospective Clients and the Ethics Rules","Minnesota Office of Lawyers Professional Responsibility",2020-07-01,"official educational article","https://olpr.mncourts.gov/wp-content/uploads/2020/07/Prospective-clients-and-the-ethics-rules.pdf","lawyer-discipline office educational article","Minnesota","official nonbinding educational guidance","prospective-client confidentiality; electronic communications; limiting exposure to disqualifying information","educational guidance rather than a rule or opinion; predates current generative-AI products","2026-08-06"
S044,"Missouri Rule 4-1.18 prospective-client baseline","Supreme Court of Missouri / Missouri Bar",unknown,"current rule applied in official bar materials accessed 2026-08-06","https://news.mobar.org/ethics-fourteen-new-informal-advisory-opinion-summaries-published/","professional-conduct rule and official bar explanation","Missouri","controlling professional-conduct baseline","prospective-client confidentiality; limited consultations; property entrusted during consultation","official bar page quotes and applies the rule but is not a compact consolidated Supreme Court rules compilation","2026-08-06"
S045,"Missouri Informal Opinion 2024-11: Generative AI use policy","Missouri Legal Ethics Counsel",2024-08-08,"informal advisory opinion summary","https://news.mobar.org/ethics-fourteen-new-informal-advisory-opinion-summaries-published/","informal advisory opinion","Missouri","official nonbinding advisory guidance","AI competence; confidentiality; safeguards; independence; verification; supervision; fees; candor","general AI-practice guidance rather than intake-specific authority or empirical product validation","2026-08-06"
S046,"Nebraska Supreme Court Rule § 3-501.18: Duties to Prospective Client","Nebraska Judicial Branch",unknown,"current Supreme Court rule webpage accessed 2026-08-06","https://nebraskajudicial.gov/supreme-court-rules/chapter-3-attorneys-and-practice-law/article-5-nebraska-rules-professional-conduct/%C2%A7%C2%A7-3-5011-3-50118-client-lawyer-relationship/%C2%A7-3-50118-duties-prospective-client","court-adopted professional-conduct rule","Nebraska","controlling professional-conduct baseline","prospective-client status; unilateral communications; confidentiality; conflicts; informed-consent conditions","does not address or validate AI intake summarization; no intake-specific Nebraska AI authority was verified","2026-08-06"
S047,"Montana Rules of Professional Conduct: Rule 1.20 Duties to Prospective Clients","Montana Supreme Court",unknown,"current official court compilation accessed 2026-08-06","https://courts.mt.gov/external/rules/mtr_prof_cond.pdf","court-adopted professional-conduct rule","Montana","controlling professional-conduct baseline","prospective-client status; confidentiality; conflicts; informed consent; limiting exposure; screening and notice","Montana numbers this provision Rule 1.20 because Rule 1.18 governs IOLTA; the rule does not address or validate AI intake summarization","2026-08-06"
S048,"Rule 1.18: Duties to Prospective Client","New Hampshire Supreme Court",unknown,"current Supreme Court rule webpage accessed 2026-08-06","https://www.courts.nh.gov/new-hampshire-rules-professional-conduct/rule-118-duties-prospective-client","court-adopted professional-conduct rule","New Hampshire","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; limited initial consultation; screening and written notice","does not address or validate AI intake summarization; no intake-specific New Hampshire AI authority was verified","2026-08-06"
S049,"Alaska Rules of Professional Conduct: Rule 1.18 Duties to Prospective Client","Alaska Supreme Court / Alaska Court System",unknown,"current court rules compilation accessed 2026-08-06","https://courts.alaska.gov/rules/docs/prof.pdf","court-adopted professional-conduct rule","Alaska","controlling professional-conduct baseline","prospective-client status; written, oral, and electronic communications; invited submissions; clear warnings; confidentiality; limiting initial consultation; screening and notice","does not address or validate AI intake summarization; no intake-specific Alaska AI authority was verified","2026-08-06"
S050,"Arizona Rule 42 ER 1.18: Duties to Prospective Client","Arizona Supreme Court / Arizona Court System",unknown,"current official court study guide reproducing ER 1.18 accessed 2026-08-06","https://www.azcourts.gov/Portals/0/26/LP%20CIVIL%20LAW%20EXAM%20STUDY%20GUIDE_1.pdf","official court reproduction of professional-conduct rule","Arizona","controlling-rule text reproduction","prospective-client status; confidentiality; significantly harmful information; informed consent; screening and notice","the guide reproduces ER 1.18 but is not itself the adoption order; the rule does not address or validate AI intake summarization","2026-08-06"
S051,"California Rule 1.18: Duties to Prospective Client","State Bar of California / California Supreme Court",unknown,"current State Bar publication of court-adopted professional-conduct rules accessed 2026-08-06","https://www.calbar.ca.gov/index.php/legal-professionals/rules/rules-professional-conduct/current-rules-professional-conduct/chapter-1-lawyer-client-relationship","court-adopted professional-conduct rule","California","controlling professional-conduct baseline","prospective-client status; confidentiality; materially adverse representation; informed written consent; limiting exposure; screening and written notice","does not address or validate AI intake summarization; California's 2026 Practical Guidance remains official nonbinding guidance","2026-08-06"
S052,"Colorado Rule 1.18: Duties to Prospective Client","Colorado Supreme Court / Colorado Judicial Branch",2008,"court-hosted full rules compilation accessed 2026-08-06; February 2025 rule-change order marks Rule 1.18 unchanged","https://www.coloradojudicial.gov/media/4289","court-adopted professional-conduct rule","Colorado","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; limiting initial interview; informed consent; screening and notice","full compilation is historical but the court's 2025 change order expressly marks Rule 1.18 unchanged; no intake-specific Colorado AI authority or product validation was verified","2026-08-06"
S053,"District of Columbia Rule 1.18: Duties to Prospective Client","District of Columbia Court of Appeals / District of Columbia Bar",unknown,"current official rule webpage accessed 2026-08-06","https://www.dcbar.org/for-lawyers/legal-ethics/rules-of-professional-conduct/client-lawyer-relationship/duties-to-prospective-client","court-adopted professional-conduct rule","District of Columbia","controlling professional-conduct baseline","prospective-client status; unilateral communications; confidentiality; conflicts; informed consent; limiting initial consultation; screening","does not address or validate AI intake summarization; D.C. Ethics Opinion 388 remains general AI guidance rather than intake-specific product validation","2026-08-06"
S054,"Connecticut Rule 1.18: Duties to Prospective Client","Connecticut Judicial Branch / Connecticut State Library",unknown,"official Connecticut Practice Book rule page accessed 2026-08-07","https://cslib.contentdm.oclc.org/digital/api/collection/p128501coll2/id/545515/download","court-adopted professional-conduct rule in official Practice Book publication","Connecticut","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; informed consent; limiting exposure; screening and written notice","the acquired rule page does not address AI or validate intake summarization; separate court-facing AI verification developments concern filings and must not be generalized to intake","2026-08-07"
S055,"Delaware Lawyers' Rules of Professional Conduct: Rule 1.18 Duties to Prospective Client","Delaware Supreme Court / Delaware Judiciary",unknown,"current Judiciary compilation amended through 2025-11-18 and accessed 2026-08-07","https://courts.delaware.gov/forms/download.aspx?id=160568","court-adopted professional-conduct rule","Delaware","controlling professional-conduct baseline","prospective-client status; written oral and electronic communications; invited and unilateral submissions; confidentiality; significantly harmful information; limiting initial consultation; informed consent; screening and written notice","does not address or validate AI intake summarization; court-employee policies are not private-lawyer authority","2026-08-07"
S056,"Rules Regulating The Florida Bar: Rule 4-1.18 Duties to Prospective Client","Supreme Court of Florida / The Florida Bar",unknown,"current official Chapter 4 publication updated 2026-06-30 and accessed 2026-08-07","https://www.floridabar.org/rules/rrtfb/","court-adopted professional-conduct rule","Florida","controlling professional-conduct baseline","prospective-client status; written oral and electronic communications; invited and unilateral submissions; confidentiality; information usable to a prospective client's disadvantage; limiting initial consultation; consent; screening and notice","the rules index establishes the current official compilation and Opinion 24-1 reproduces the intake-specific comment; the rule does not validate AI intake summarization","2026-08-07"
S057,"Hawaiʻi Rules of Professional Conduct: Rule 1.18 Duties to Prospective Clients","Supreme Court of Hawaiʻi",unknown,"current official rules compilation released 2025-12 and accessed 2026-08-07","https://www.courts.state.hi.us/wp-content/uploads/2024/09/hrpcond_ada.pdf","court-adopted professional-conduct rule","Hawaii","controlling professional-conduct baseline","prospective-client status; unilateral communications; confidentiality; significantly harmful information; limiting initial interview; consent; screening and written notice","does not address electronic submissions or validate AI intake summarization; general Hawaiʻi AI materials must be classified separately","2026-08-07"
S058,"Committee on Artificial Intelligence and the Courts: Final Report to the Hawaiʻi Supreme Court","Hawaiʻi Supreme Court Committee on Artificial Intelligence and the Courts","2025-12-15","final report submitted to the Hawaiʻi Supreme Court and accessed 2026-08-07","https://www.courts.state.hi.us/wp-content/uploads/2025/12/121625_SCMF-24-305_CommitteeOnArtificialIntelligenceAndTheCourts_FinalReport.pdf","official court-committee report and general AI guidance","Hawaii","official nonbinding general AI guidance","professional duties implicated by AI; confidentiality; supervision; verification; committee recommendation of no current rule changes","does not discuss prospective-client intake and is not a court rule formal ethics opinion or product validation","2026-08-07"
S059,"Illinois Rule 1.18: Duties to Prospective Client","Supreme Court of Illinois","2015-10-15","current official rule amended 2015-10-15 effective 2016-01-01 and accessed 2026-08-07","https://www.illinoiscourts.gov/resources/fea63f10-3240-4c78-863a-5d8f0176db08/file","court-adopted professional-conduct rule","Illinois","controlling professional-conduct baseline","prospective-client status; written oral and electronic communications; invited and unilateral submissions; confidentiality; significantly harmful information; limiting initial consultation; informed consent; screening","does not address or validate AI intake summarization; general Illinois AI materials must be classified separately","2026-08-07"
S060,"Illinois Supreme Court Policy on Artificial Intelligence","Supreme Court of Illinois","2024-12-18","official Supreme Court policy announcement accessed 2026-08-07","https://www.illinoiscourts.gov/News/1485/Illinois-Supreme-Court-Announces-Policy-on-Artificial-Intelligence/news-detail/","official supreme-court policy and general AI guidance","Illinois","official general AI guidance","existing professional duties apply to AI; accountability for final work product; review and verification of AI-generated court submissions; understanding tool capabilities","does not address prospective-client intake and is not product validation","2026-08-07"
S061,"Indiana Rule 1.18: Duties to Prospective Client","Indiana Supreme Court","2005-01-01","current official court rule webpage accessed 2026-08-07","https://rules.incourts.gov/Content/prof-conduct/rule1-18/current.htm","court-adopted professional-conduct rule","Indiana","controlling professional-conduct baseline","prospective-client status; confidentiality; significantly harmful information; unilateral communications; limiting initial consultation; informed consent; screening and written notice","does not expressly address electronic submissions or validate AI intake summarization; State Bar educational AI materials are not adopted ethics authority","2026-08-07"
