route,page_type,primary_audience,current_status,recommended_action,priority
/teardowns/legal-ai-workflow,Legal diagnostic,legal teams,live,ethics/score audit,P0
/tools/citation-verifier,Legal tool,legal teams,live,capability/limitations/privacy audit,P0
/intelligence/brand-perception,Diagnostic,brands,live,methodology audit,P1
/monitors/ai-creative-production,Diagnostic,creative teams,live,IP/provenance audit,P0
/monitors/biophilic-neuroarch,Diagnostic,design teams,live,health-claim evidence audit,P0
/monitors/suppression-audit,Diagnostic,content teams,live,causality/platform claims audit,P0
/monitors/luxury-ip,Legal-risk diagnostic,luxury brands,live,legal limitation audit,P0
/tools/ai-readiness-scorecard,Diagnostic,organizations,live,weighting/result audit,P1
/monitors/market-intel,Intelligence diagnostic,businesses,live,source/freshness audit,P1
/monitors/arts-culture,Cultural diagnostic,arts orgs,live,cultural methodology audit,P1
/systems/creator-content,Workflow system,creators,live,rights/workflow audit,P1
/monitors/private-ai-risk,Risk diagnostic,organizations,live,vendor/date/privacy audit,P0
/tools/practice-readiness,Diagnostic,service firms,live,overlap/consolidation audit,P1
/university,Education home,learners/institutions,live,rebuild pathways,P1
/university/start-here,Education orientation,beginners,live,revise,P2
/university/learn,Education index,learners,live,curriculum sequence audit,P2
/university/playbooks,Education index,operators,live,content audit,P2
/university/templates,Education index,operators,live,asset fulfillment audit,P2
/university/use-cases,Education index,role-based learners,live,consolidate thin pages,P2
/university/tools,Education recommendations,learners,live,freshness/affiliate audit,P0
/university/services,Duplicate service index,buyers,live,redirect/merge,P0
/university/about,Education company,learners,live,differentiate from About,P2
/university/contact,Support/contact,learners,live,separate support vs sales,P1
/university/assessment,Education diagnostic,learners,live,consolidate/validate,P1
/university/learn/ai-for-email,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/ai-for-meeting-notes,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/ai-for-sop-drafting,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/chatgpt-vs-claude-vs-gemini-vs-perplexity,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/choose-your-first-ai-stack,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/hallucinations-and-risk,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/how-to-verify-ai-outputs,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/privacy-and-confidentiality,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/prompting-fundamentals,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/what-ai-can-and-cannot-do,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/what-generative-ai-is,Lesson,learners,live,lesson quality/freshness audit,P3
/university/learn/when-not-to-use-ai,Lesson,learners,live,lesson quality/freshness audit,P3
/university/playbooks/client-intake-onboarding,Playbook,operators,live,workflow/asset/license audit,P3
/university/playbooks/content-repurposing,Playbook,operators,live,workflow/asset/license audit,P3
/university/playbooks/governance-starter,Playbook,operators,live,workflow/asset/license audit,P3
/university/playbooks/internal-knowledge-base,Playbook,operators,live,workflow/asset/license audit,P3
/university/playbooks/lead-generation,Playbook,operators,live,workflow/asset/license audit,P3
/university/playbooks/sop-operations,Playbook,operators,live,workflow/asset/license audit,P3
/university/services/ai-governance-setup,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/services/ai-implementation,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/services/ai-strategy-sprint,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/services/ai-workflow-design,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/services/ongoing-advisory,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/services/team-training,Duplicate service page,buyers,live,redirect to canonical services,P0
/university/templates/ai-implementation-roadmap,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/ai-policy-starter-kit,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/ai-tool-evaluation-matrix,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/ai-use-case-inventory,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/ai-workflow-mapping-worksheet,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/content-repurposing-workflow,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/meeting-summary-prompt-pack,Template,operators,live,verify downloadable asset/version/license,P2
/university/templates/sop-prompt-pack,Template,operators,live,verify downloadable asset/version/license,P2
/university/tools/best-for-content-repurposing,Recommendation page,learners,live,quarterly freshness/security/pricing audit,P0
/university/tools/best-for-meeting-notes,Recommendation page,learners,live,quarterly freshness/security/pricing audit,P0
/university/tools/best-for-research,Recommendation page,learners,live,quarterly freshness/security/pricing audit,P0
/university/tools/best-for-small-business-operations,Recommendation page,learners,live,quarterly freshness/security/pricing audit,P0
/university/tools/build-a-lean-ai-stack,Recommendation page,learners,live,quarterly freshness/security/pricing audit,P0
/university/use-cases/admin,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/client-service,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/governance,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/knowledge-management,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/law-firms,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/leadership,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/marketing,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/operations,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/research,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/sales,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/small-businesses,Use-case page,role-based learners,live,consolidate or deepen,P3
/university/use-cases/training,Use-case page,role-based learners,live,consolidate or deepen,P3
